domain,partOf,source
forbes.com,whitelist,scimago
investopedia.com,whitelist,scimago
bloomberg.com,whitelist,scimago
washingtonpost.com,whitelist,scimago
apnews.com,whitelist,scimago
politico.com,whitelist,scimago
businessinsider.com,whitelist,scimago
fortune.com,whitelist,scimago
newyorker.com,testate,scimago
wsj.com,testate,scimago
entrepreneur.com,testate,scimago
inc.com,testate,scimago
azcentral.com,testate,scimago
marketwatch.com,testate,scimago
freep.com,testate,scimago
startribune.com,testate,scimago
chron.com,testate,scimago
denverpost.com,testate,scimago
latimes.com,testate,scimago
mercurynews.com,testate,scimago
thebalancemoney.com,testate,scimago
chicago.suntimes.com,testate,scimago
theathletic.com,testate,scimago
dallasnews.com,testate,scimago
nerdwallet.com,testate,scimago
sfgate.com,testate,scimago
inquirer.com,testate,scimago
nypost.com,testate,scimago
nj.com,testate,scimago
baltimoresun.com,testate,scimago
kiplinger.com,testate,scimago
sacbee.com,testate,scimago
bostonglobe.com,testate,scimago
cleveland.com,testate,scimago
si.com,testate,scimago
mlive.com,testate,scimago
ocregister.com,testate,scimago
oregonlive.com,testate,scimago
deseret.com,testate,scimago
desmoinesregister.com,testate,scimago
northjersey.com,testate,scimago
rivals.com,testate,scimago
tampabay.com,testate,scimago
chicagotribune.com,testate,scimago
cincinnati.com,testate,scimago
kansascity.com,testate,scimago
fastcompany.com,testate,scimago
propublica.org,testate,scimago
wrenthamtimes.com,blacklist,scimago
neoshodaily.com,blacklist,scimago
hispanosdevalornewspaper.com,blacklist,scimago
thevosm.net,blacklist,scimago
lanuevasemana.com,blacklist,scimago
doralnewsonline.com,blacklist,scimago
diariousa.com,blacklist,scimago
elsoldeohio.com,blacklist,scimago
lavanguardiahoy.com,blacklist,scimago
cronicasnews.com,blacklist,scimago
theguardian.com,whitelist,scimago
independent.co.uk,whitelist,scimago
reuters.com,whitelist,scimago
dailymail.co.uk,whitelist,scimago
mirror.co.uk,whitelist,scimago
telegraph.co.uk,whitelist,scimago
ft.com,whitelist,scimago
economist.com,whitelist,scimago
express.co.uk,whitelist,scimago
thesun.co.uk,whitelist,scimago
standard.co.uk,testate,scimago
metro.co.uk,testate,scimago
manchestereveningnews.co.uk,testate,scimago
dailyrecord.co.uk,testate,scimago
walesonline.co.uk,testate,scimago
thetimes.co.uk,testate,scimago
huffingtonpost.co.uk,testate,scimago
cityam.com,testate,scimago
liverpoolecho.co.uk,testate,scimago
autosport.com,testate,scimago
dailystar.co.uk,testate,scimago
thisismoney.co.uk,testate,scimago
chroniclelive.co.uk,testate,scimago
inews.co.uk,testate,scimago
belfasttelegraph.co.uk,testate,scimago
sussexexpress.co.uk,testate,scimago
leicestermercury.co.uk,testate,scimago
middleeasteye.net,testate,scimago
kentonline.co.uk,testate,scimago
nottinghampost.com,testate,scimago
aawsat.com,testate,scimago
the-sun.com,testate,scimago
bristolpost.co.uk,testate,scimago
dailypost.co.uk,testate,scimago
thejc.com,testate,scimago
birminghammail.co.uk,testate,scimago
cambridge-news.co.uk,testate,scimago
hulldailymail.co.uk,testate,scimago
sportsmole.co.uk,testate,scimago
thestar.co.uk,testate,scimago
yorkshireeveningpost.co.uk,testate,scimago
coventrytelegraph.net,testate,scimago
devonlive.com,testate,scimago
mylondon.news,testate,scimago
derbytelegraph.co.uk,testate,scimago
lep.co.uk,testate,scimago
yorkshirepost.co.uk,testate,scimago
plymouthherald.co.uk,testate,scimago
getreading.co.uk,testate,scimago
getsurrey.co.uk,testate,scimago
theuknews.com,blacklist,scimago
barnettimes.co.uk,blacklist,scimago
bedlington.co.uk,blacklist,scimago
wycombetoday.com,blacklist,scimago
russianinengland.co.uk,blacklist,scimago
shirshobindu.com,blacklist,scimago
horndeanpost.co.uk,blacklist,scimago
edgwaretimes.co.uk,blacklist,scimago
bradfordian.co.uk,blacklist,scimago
easterneyeonline.co.uk,blacklist,scimago
